"","Publico.Alvo","Tipo.de.FII","Administrador","ultimo_rendimento_reais","ultimo_rendimento_perc","Data.Pagamento","Data.Base","rend_medio_12m_reais","rend_medio_12m_perc","patrimonio_por_cota","cotacao_por_vp","nro_negocios_por_mes","participacao_IFIX","Numero.Cotistas","Patrimonio","Cota.base","fiis_clust","fiis.k6.cluster"
"HGCR11","Geral","Papel: CRIs","Credit Suisse Hedging-Griffo",0.75,0.7,"15/06/2021","31/05/2021",0,0,104.6,1.03,70078,1.33,58993,1294128523.66,107.65,4,5
"HGFF11","Geral","Papel: Fundo de Fundos","Credit Suisse Hedging-Griffo",0.5,0.58,"15/06/2021","31/05/2021",0.62,0.72,94.85,0.91,15782,0.24,8708,271606656.75,85.95,1,2
"HGIC11","Geral","Papel: CRIs","Vórtx DTVM LTDA",0.78,0.73,"17/06/2021","31/05/2021",0.13,0.12,103.68,1.03,445,0,140,13305600.41,107,2,2
"HGLG11","Geral","Tijolo: Galpões","Credit Suisse Hedging-Griffo",1,0.59,"15/06/2021","31/05/2021",1,0.59,148.59,1.14,102144,3.14,280532,2739487707.59,169.54,3,1
"HGPO11","Geral","Tijolo: Escritórios","Credit Suisse Hedging-Griffo",1.17,0.53,"15/06/2021","31/05/2021",1.06,0.48,241.56,0.91,4207,0.41,9950,423466782.77,220.04,1,2
"HGRE11","Geral","Tijolo: Escritórios","Credit Suisse Hedging-Griffo",0.69,0.54,"15/06/2021","31/05/2021",0.73,0.57,169.1,0.76,79294,1.59,110914,1998358393.35,128.66,4,5
"HGRU11","Geral","Tijolo: Educacional","Credit Suisse Hedging-Griffo",0.7,0.58,"15/06/2021","31/05/2021",0.74,0.62,117.88,1.02,132770,2.27,129811,2169838766.49,120.15,3,1
"HLOG11","Geral","Tijolo: Galpões","Hedge Investments DTVM LTDA",0.63,0.55,"15/06/2021","31/05/2021",0,0,119.4,0.95,2807,0,4052,507453457.78,113.75,1,2
"HOSI11","Geral","Tijolo: Outros","Vórtx DTVM LTDA",0.54,0.67,"08/06/2021","31/05/2021",0.41,0.51,92.49,0.87,833,0,2246,53038319.57,80.64,1,2
"HPDP11","Geral","Tijolo: Shoppings","Hedge Investments DTVM LTDA",0.08,0.1,"15/06/2021","31/05/2021",0,0,100.3,0.82,610,0,377,291754173.69,82.39,2,2
"HRDF11","Investidor Qualificado","Tijolo: Desenvolvimento","Hedge Investments DTVM LTDA",0,0,"00/00/0000","00/00/0000",0,0,1.67,0,2929,0,1283,12681699.64,0,2,2
"HREC11","Geral","Papel: CRIs","Hedge Investments DTVM LTDA",1.04,1.03,"15/06/2021","31/05/2021",0,0,98.11,1.03,342,0,210,115420822.18,101.3,2,2
"HSAF11","Geral","Papel: CRIs","BRL Trust DTVM",1.1,1.08,"08/06/2021","31/05/2021",0.54,0.53,98.5,1.03,10154,0,4116,88962262.5,101.91,1,2
"HSLG11","Geral","Tijolo: Galpões","BRL Trust DTVM",0.58,0.55,"08/06/2021","31/05/2021",0.27,0.25,112.63,0.94,26124,1.32,14493,1425858495.21,106.19,1,5
"HSML11","Geral","Tijolo: Shoppings","Santander Securities Services Brasil DTVM",0.35,0.38,"08/06/2021","31/05/2021",0,0,97.88,0.93,56371,1.46,122744,1544629510.31,91.09,4,5
"HSRE11","Geral","Tijolo: Híbrido","BRL Trust DTVM",0.54,0.58,"08/06/2021","31/05/2021",0.2,0.22,96.87,0.96,493,0,29,825174359.56,93,1,2
"HTMX11","Geral","Tijolo: Hotéis","BTG Pactual",0.71,0.45,"06/03/2020","28/02/2020",0.83,0.53,130.57,1.2,6605,0.13,24484,164134688.37,156.93,1,2
"HUSC11","Geral","Tijolo: Hospital","Rio Bravo Investimentos",0.73,0.54,"15/06/2021","31/05/2021",0.77,0.57,130.17,1.03,284,0,666,103437354.92,134,1,2
"HUSI11","Geral","Tijolo: Hospital","Planner Corretora de Valores",0,0,"00/00/0000","00/00/0000",0,0,952.58,0,1,0,77,95602971.3,0,2,2
"IBFF11","Geral","Papel: Fundo de Fundos","BTG Pactual",0.5,0.73,"17/06/2021","10/06/2021",0,0,83.5,0.83,4969,0,5410,55666031.82,68.95,2,2
"IFID11","Geral","Papel: Fundo de Fundos","Inter DTVM",0.88,0.94,"15/06/2021","31/05/2021",0.19,0.2,92.56,1.02,2955,0,2094,69249052.19,94,2,2
